id,created_at,text,user_screen_name,user_location,sentiment,compound,match
1507072963627012097,2022-03-24 19:12:49+00:00," 💫 What a way to finish your captaincy career, MS! #IPL2022 ",MR_JD18,Coimbatore 💕,Neutral,0.0,KKRvsMI
1507072956400226330,2022-03-24 19:12:47+00:00,INDIAS  BIGGEST FESTIVAL  I  P  L 🎄  IS GOING TO BEGIN FROM TOMORROW . ARE YOU READY ?#IPL2022 #IPL,Roshan_sharma45,"Guwahati, India",Positive,0.6908,KKRvsMI
1507072951442559000,2022-03-24 19:12:46+00:00, David Warner's Instagram post ❤️ #IPL2022 #WhistlePodu ,SaranReDact,Sri Lanka,Neutral,0.0,KKRvsMI
1507072947869011975,2022-03-24 19:12:45+00:00, MS Dhoni leaving CSK captaincy and continuing as a player: #IPL2022 ,ppl1312,शाहपुरा (जयपुर),Neutral,0.0,KKRvsMI
1507072932719185945,2022-03-24 19:12:41+00:00," Congratulations on a legendary tenure as captain of CSK, ! 🙌🏻Can’t wait to see this bromance on the field soon. 🤜🏻…",VinodYa05683235,"Lucknow, India",Positive,0.636,KKRvsMI
1507072925014577157,2022-03-24 19:12:40+00:00, . just speaking out loud what we all are thinking. 🤩 #PlayBold #WeAreChallengers #IPL2022 #…,shreyarealone,,Neutral,0.0,KKRvsMI
1507072889358815233,2022-03-24 19:12:31+00:00, The man! The legacy!The unforgettable era!#ChennaiSuperKings #IPL #IPL2022 ,bindazdeepak,"ODISHA, INDIA",Neutral,0.0,KKRvsMI
1507072875005562892,2022-03-24 19:12:28+00:00," You led the pack with class MSD, and all of us watched in awe 🥺💙All the best to the man next in line 👉🏼  🤝🏼…",Mugeshg6,,Positive,0.6369,KKRvsMI
1507072863454769153,2022-03-24 19:12:25+00:00, Can think of a better replacement skipper for MS Dhoni than the Rockstar  !! #IPL2022,Chilluuu07,,Positive,0.5399,KKRvsMI
1507072855191670785,2022-03-24 19:12:23+00:00, There’s a new Lion King.#MSDhoni #IPL2022 #TataIPL2022 ,SyedSai79405190,,Neutral,0.0,KKRvsMI
1507072830785355776,2022-03-24 19:12:17+00:00," 💫 What a way to finish your captaincy career, MS! #IPL2022 ",Chilluuu07,,Neutral,0.0,KKRvsMI
1507072828713181188,2022-03-24 19:12:17+00:00," Congratulations on a legendary tenure as captain of CSK, ! 🙌🏻Can’t wait to see this bromance on the field soon. 🤜🏻…",KarthikMadan07,"Chennai, India",Positive,0.636,KKRvsMI
1507072818944495637,2022-03-24 19:12:14+00:00, 🔥reacts only! #PlayBold #WeAreChallengers #IPL2022 #Mission2022 #RCB #ViratKohli𓃵 ,chantinani14,,Neutral,0.0,KKRvsMI
1507072814154600482,2022-03-24 19:12:13+00:00, Warning! it can break your heart💔📸: IPL/BCCI#IPL2022 #MSDhoni #CSK ,Amanmishra_9_9,"Rohtak, India",Negative,-0.4003,KKRvsMI
